Id;Label;PageRank;Authorithy;Eccentricity;Hub;Closeness;Harmonic Closeness;Betweenness;Clustering Coeff.
colonisation;colonisation;0.002292681224701874;0.04792271;2.0;0.04792271;0.9931506849315068;0.996551724137931;0.48561726562963536;0.9980664849281311
no;no;0.0023074416257814778;0.04813785;1.0;0.04813785;1.0;1.0;2.319.342.051.301.690;0.993188202381134
metoo;metoo;0.0022973345221740057;0.048014425;2.0;0.048014425;0.9954233409610984;0.9977011494252873;0.6992494340692434;0.9972628355026245
xenophobia;xenophobia;0.0023027883366527084;0.04804614;2.0;0.04804614;0.9977064220183486;0.9988505747126437;21.057.098.828.620.800;0.9939655661582947
change;change;0.0023074416257814778;0.04813785;1.0;0.04813785;1.0;1.0;2.319.342.051.301.690;0.993188202381134
color;color;0.0023074416257814778;0.04813785;1.0;0.04813785;1.0;1.0;2.319.342.051.301.690;0.993188202381134
india;india;0.002288073414247539;0.047825612;2.0;0.047825612;0.9908883826879271;0.9954022988505747;0.339579041114698;0.9986510276794434
wealthy;wealthy;0.0022973345221740057;0.048014425;2.0;0.048014425;0.9954233409610984;0.9977011494252873;0.6992494340692434;0.9972628355026245
old;old;0.0022973345221740057;0.048014425;2.0;0.048014425;0.9954233409610984;0.9977011494252873;0.6992494340692434;0.9972628355026245
celebration;celebration;0.0014678264512275989;0.02758492;2.0;0.02758492;0.7004830917874396;0.7862068965517242;0.17274413972381783;0.9982186555862427
politics;politics;0.0022973345221740057;0.048014425;2.0;0.048014425;0.9954233409610984;0.9977011494252873;0.6992494340692434;0.9972628355026245
rural;rural;0.0023074416257814778;0.04813785;1.0;0.04813785;1.0;1.0;2.319.342.051.301.690;0.993188202381134
state;state;0.0023074416257814778;0.04813785;1.0;0.04813785;1.0;1.0;2.319.342.051.301.690;0.993188202381134
identitypolitics;identitypolitics;0.0022973345221740057;0.048014425;2.0;0.048014425;0.9954233409610984;0.9977011494252873;0.6992494340692434;0.9972628355026245
colour;colour;0.0023074416257814778;0.04813785;1.0;0.04813785;1.0;1.0;2.319.342.051.301.690;0.993188202381134
life;life;0.0023074416257814778;0.04813785;1.0;0.04813785;1.0;1.0;2.319.342.051.301.690;0.993188202381134
support;support;0.0023074416257814778;0.04813785;1.0;0.04813785;1.0;1.0;2.319.342.051.301.690;0.993188202381134
ignorance;ignorance;0.002302788336652708;0.04804614;2.0;0.04804614;0.9977064220183486;0.9988505747126437;21.057.098.828.620.800;0.9939655661582947
today;today;0.0023074416257814778;0.04813785;1.0;0.04813785;1.0;1.0;2.319.342.051.301.690;0.993188202381134
funny;funny;0.002302788336652708;0.04804614;2.0;0.04804614;0.9977064220183486;0.9988505747126437;21.057.098.828.620.800;0.9939655661582947
she;she;0.0023074416257814778;0.04813785;1.0;0.04813785;1.0;1.0;2.319.342.051.301.690;0.993188202381134
